clip_name,label,time_of_alert
00664_clip.npy,crash,19.433
00360_clip.npy,crash,19.833
00037_clip.npy,crash,19.633
00447_clip.npy,crash,8.929
00584_clip.npy,crash,15.767
00256_clip.npy,crash,18.267
00405_clip.npy,crash,17.295
00945_clip.npy,crash,17.857
00174_clip.npy,crash,19.0
00785_clip.npy,crash,18.533
00000_clip.npy,crash,19.136
00529_clip.npy,crash,18.629
00342_clip.npy,crash,18.333
00108_clip.npy,crash,18.233
00364_clip.npy,crash,19.447
00647_clip.npy,crash,18.533
00970_clip.npy,crash,17.026
00613_clip.npy,crash,8.533
00942_clip.npy,crash,18.833
00491_clip.npy,crash,18.867
00824_clip.npy,crash,18.082
00344_clip.npy,crash,17.462
00414_clip.npy,crash,9.164
00104_clip.npy,crash,20.133
00361_clip.npy,crash,18.312
00054_clip.npy,crash,17.767
00309_clip.npy,crash,18.433
00898_clip.npy,crash,18.498
00904_clip.npy,crash,18.523
00691_clip.npy,crash,18.867
00121_clip.npy,crash,18.733
00138_clip.npy,crash,17.7
00461_clip.npy,crash,8.0
00332_clip.npy,crash,5.333
00216_clip.npy,crash,16.767
00722_clip.npy,crash,17.267
00816_clip.npy,crash,20.2
00125_clip.npy,crash,19.873
00977_clip.npy,crash,18.833
00437_clip.npy,crash,19.0
00618_clip.npy,crash,18.867
00791_clip.npy,crash,18.667
00858_clip.npy,crash,16.633
00430_clip.npy,crash,18.51
00640_clip.npy,crash,17.657
00016_clip.npy,crash,17.861
00276_clip.npy,crash,18.733
00521_clip.npy,crash,18.984
00903_clip.npy,crash,17.184
00966_clip.npy,crash,16.11
00633_clip.npy,crash,18.133
00698_clip.npy,crash,19.433
00097_clip.npy,crash,19.916
00861_clip.npy,crash,19.367
01024_clip.npy,crash,17.633
00859_clip.npy,crash,18.422
00856_clip.npy,crash,7.465
00733_clip.npy,crash,11.469
00102_clip.npy,crash,16.833
00450_clip.npy,crash,18.946
00145_clip.npy,crash,15.233
00025_clip.npy,crash,18.467
00068_clip.npy,crash,16.733
00909_clip.npy,crash,18.998
00611_clip.npy,crash,16.833
00180_clip.npy,crash,19.833
00458_clip.npy,crash,17.233
00937_clip.npy,crash,18.3
00783_clip.npy,crash,20.35
00058_clip.npy,crash,18.071
00295_clip.npy,crash,18.167
00109_clip.npy,crash,16.167
00988_clip.npy,crash,8.798
00207_clip.npy,crash,15.433
00269_clip.npy,crash,18.755
00989_clip.npy,crash,18.5
00774_clip.npy,crash,19.4
00032_clip.npy,crash,19.233
00460_clip.npy,crash,18.38
00742_clip.npy,crash,19.431
00558_clip.npy,crash,17.945
00370_clip.npy,crash,21.5
00579_clip.npy,crash,21.549
